Quarter,,Year,Total Ridership,Heavy Rail,Light Rail,Commuter Rail,Trolleybus,Bus,Demand Response,Other
Q1,1990 - Q1,1990,"2,256,422","606,580","36,898","82,274",N/A,"1,457,932","18,223",N/A
Q2,1990 - Q2,1990,"2,163,608","577,237","40,470","84,150",N/A,"1,389,602","17,703",N/A
Q3,1990 - Q3,1990,"2,071,195","546,929","41,676","81,481",N/A,"1,325,863","16,614",N/A
Q4,1990 - Q4,1990,"2,198,460","567,572","43,093","82,754",N/A,"1,435,452","17,514",N/A
Q1,1991 - Q1,1991,"2,068,031","515,379","39,260","79,746",N/A,"1,364,428","17,808",N/A
Q2,1991 - Q2,1991,"2,102,904","538,972","41,697","82,707",N/A,"1,354,977","18,816",N/A
Q3,1991 - Q3,1991,"2,074,613","483,416","41,199","81,258",N/A,"1,380,271","22,209",N/A
Q4,1991 - Q4,1991,"2,179,742","521,703","40,846","81,470",N/A,"1,461,191","23,195",N/A
Q1,1992 - Q1,1992,"2,066,881","520,185","40,387","80,021","33,119","1,355,534","20,993","16,642"
Q2,1992 - Q2,1992,"2,104,470","532,252","47,261","81,460","32,923","1,369,722","22,190","18,662"
Q3,1992 - Q3,1992,"2,020,596","525,051","41,588","80,396","31,910","1,299,810","21,348","20,494"
Q4,1992 - Q4,1992,"2,150,678","534,088","40,725","81,310","32,795","1,420,420","23,088","18,250"
Q1,1993 - Q1,1993,"2,036,915","522,077","39,920","80,574","30,576","1,327,930","22,843","12,994"
Q2,1993 - Q2,1993,"2,072,098","555,073","56,045","83,013","30,646","1,327,298","24,583","20,024"
Q3,1993 - Q3,1993,"2,034,321","539,661","57,495","82,949","29,270","1,276,777","24,051","24,117"
Q4,1993 - Q4,1993,"2,137,527","564,093","57,975","84,150","38,433","1,357,099","24,670","19,107"
Q1,1994 - Q1,1994,"2,040,364","507,946","55,794","85,865","29,573","1,325,172","23,004","13,009"
Q2,1994 - Q2,1994,"2,112,812","537,080","57,199","87,720","29,762","1,357,483","22,576","21,001"
Q3,1994 - Q3,1994,"2,017,854","518,895","60,626","87,710","27,911","1,276,585","22,320","23,808"
Q4,1994 - Q4,1994,"2,146,648","556,423","60,940","88,183","29,872","1,368,967","22,603","19,662"
Q1,1995 - Q1,1995,"2,060,557","518,080","55,841","84,717","36,590","1,329,235","23,078","13,016"
Q2,1995 - Q2,1995,"2,049,924","513,022","57,747","88,748","28,621","1,322,441","23,485","15,859"
Q3,1995 - Q3,1995,"1,990,865","494,291","60,045","87,758","27,734","1,292,872","23,733","23,358"
Q4,1995 - Q4,1995,"1,978,074","510,330","65,951","88,942","30,014","1,245,335","19,829","17,675"
Q1,1996 - Q1,1996,"1,978,066","525,285","57,388","88,194","29,104","1,242,887","19,035","16,172"
Q2,1996 - Q2,1996,"2,028,983","548,185","61,639","90,003","28,929","1,260,125","20,035","20,065"
Q3,1996 - Q3,1996,"1,952,046","548,710","65,967","90,334","29,036","1,175,091","19,966","22,943"
Q4,1996 - Q4,1996,"2,001,342","547,079","61,212","91,049","29,762","1,234,582","20,025","17,636"
Q1,1997 - Q1,1997,"2,013,724","575,994","61,505","88,190","29,734","1,220,691","20,221","17,389"
Q2,1997 - Q2,1997,"2,080,060","608,359","65,391","91,271","30,297","1,242,993","21,109","20,639"
Q3,1997 - Q3,1997,"2,072,380","597,759","69,476","92,686","29,038","1,238,660","20,986","23,775"
Q4,1997 - Q4,1997,"2,135,730","622,879","65,717","91,851","30,628","1,277,979","25,016","21,660"
Q1,1998 - Q1,1998,"2,121,097","612,800","65,307","89,935","29,094","1,278,169","25,248","20,543"
Q2,1998 - Q2,1998,"2,146,917","632,615","68,944","93,724","28,914","1,269,665","26,011","24,044"
Q3,1998 - Q3,1998,"2,157,014","630,018","72,054","96,853","28,764","1,275,233","25,805","28,287"
Q4,1998 - Q4,1998,"2,252,983","663,260","73,729","97,197","31,496","1,338,856","25,864","22,580"
Q1,1999 - Q1,1999,"2,233,551","635,143","68,690","94,590","31,083","1,344,218","30,071","29,753"
Q2,1999 - Q2,1999,"2,291,656","614,275","73,267","98,316","32,226","1,421,471","27,092","25,008"
Q3,1999 - Q3,1999,"2,236,397","622,067","72,750","98,632","29,623","1,359,233","25,805","28,287"
Q4,1999 - Q4,1999,"2,322,976","652,829","69,468","99,989","29,388","1,422,856","25,864","22,580"
Q1,2000 - Q1,2000,"2,289,546","644,679","67,967","99,704","30,856","1,399,488","25,916","20,937"
Q2,2000 - Q2,2000,"2,363,735","678,196","76,883","102,508","32,576","1,421,471","27,092","25,008"
Q3,2000 - Q3,2000,"2,305,028","676,460","79,495","104,417","31,332","1,359,233","25,805","28,287"
Q4,2000 - Q4,2000,"2,367,738","687,294","72,672","104,456","32,016","1,422,856","25,864","22,580"
Q1,2001 - Q1,2001,"2,362,727","678,517","74,438","104,032","28,443","1,427,961","27,888","21,447"
Q2,2001 - Q2,2001,"2,431,098","709,583","80,583","105,507","29,001","1,451,629","29,152","25,617"
Q3,2001 - Q3,2001,"2,326,393","669,545","78,855","104,704","29,058","1,387,487","27,768","28,977"
Q4,2001 - Q4,2001,"2,387,024","673,464","76,781","104,202","29,384","1,452,232","27,831","23,130"
Q1,2002 - Q1,2002,"2,310,914","657,356","76,224","99,995","29,362","1,396,870","28,944","22,163"
Q2,2002 - Q2,2002,"2,386,713","693,159","81,526","104,023","29,879","1,421,399","30,351","26,378"
Q3,2002 - Q3,2002,"2,311,419","670,713","82,307","103,290","29,648","1,365,629","29,030","30,802"
Q4,2002 - Q4,2002,"2,377,840","684,927","80,289","103,357","28,014","1,428,078","29,041","24,134"
Q1,2003 - Q1,2003,"2,330,500","649,661","80,790","99,670","27,209","1,421,423","27,271","24,476"
Q2,2003 - Q2,2003,"2,364,457","675,719","85,492","102,762","27,997","1,416,541","28,569","27,377"
Q3,2003 - Q3,2003,"2,319,708","655,022","87,449","103,449","26,087","1,389,102","28,241","30,358"
