Week of,Prediction,Name,APTA Name,Size,Region,City
2018-02-04,248188.0,Foothill Transit,Foothill Transit,2M+,Pacific,Los Angeles
2018-02-04,109761.0,Unitrans,Unitrans,Under 500k,Pacific,Sacramento
2018-02-04,827602.0,Orange County Transp Auth,Orange County Transp Auth,2M+,Pacific,Los Angeles
2018-02-04,28367.0,San Joaquin Reg Rail Comm,San Joaquin Reg Rail Comm,Under 500k,Pacific,SF Bay Area
2018-02-04,112487.0,Tompkins Consol Area Transit,Tompkins Consol Area Transit,Under 500k,Mid-Atlantic,Ithaca
2018-02-04,52634.0,Tr Auth of Northern Kentucky,Tr Auth of Northern Kentucky,"500,000-1.99M",East Central,Cincinnati
2018-02-04,1973118.0,Regional Trp District,Regional Trp District,2M+,Mountain,Denver
2018-02-04,89885.0,Virginia Railway Express,Virginia Railway Express,2M+,South-Atlantic,Washington D.C.
2018-02-04,775001.0,Santa Clara Valley Trp Auth,Santa Clara Valley Trp Auth,"500,000-1.99M",Pacific,SF Bay Area
2018-02-04,549440.0,Long Beach Transit,Long Beach Transit,2M+,Pacific,Los Angeles
2018-02-04,7003.0,City of Redondo Beach,City of Redondo Beach,2M+,Pacific,Los Angeles
2018-02-04,302484.0,Rochester Genesee RTA,Rochester Genesee RTA,"500,000-1.99M",Mid-Atlantic,Rochester
2018-02-04,1557213.0,Metro Transit,Metro Transit,2M+,West Central,Minneapolis-Saint Paul
2018-02-04,283404.0,City of Tucson MTS,City of Tucson MTS,"500,000-1.99M",Mountain,Tucson
2018-02-04,2478853.0,King County Dept of Trp,King County Dept of Trp,2M+,Pacific,Seattle
2018-02-04,292606.0,Hillsborough Area Reg TA,Hillsborough Area Reg TA,2M+,South-Atlantic,Tampa
2018-02-04,1264937.0,Dallas Area Rapid Transit,Dallas Area Rapid Transit,2M+,West Central,Dallas
2018-02-04,2611987.0,MTA Bus Company,MTA Bus Company,2M+,Mid-Atlantic,NYC
2018-02-04,20582.0,SunRail,SunRail,"500,000-1.99M",South-Atlantic,Orlando
2018-02-04,577262.0,Central Florida RTA,Central Florida RTA,"500,000-1.99M",South-Atlantic,Orlando
2018-02-04,806682.0,City of Phoenix PTD,City of Phoenix PTD,2M+,Mountain,Phoenix
2018-02-04,121016.0,Santa Cruz Metro Transit Dist,Santa Cruz Metro Transit Dist,Under 500k,Pacific,Santa Cruz
2018-02-04,7988366.0,Los Angeles County MTA,Los Angeles County MTA,2M+,Pacific,Los Angeles
2018-02-04,132013.0,GoDurham Transit,GoDurham Transit,Under 500k,South-Atlantic,Raleigh
2018-02-04,271904.0,Capital District Transp Auth,Capital District Transp Auth,"500,000-1.99M",Mid-Atlantic,Albany
2018-02-04,96880.0,District Dept of Transp,District Dept of Transp,2M+,South-Atlantic,Washington D.C.
2018-02-04,834613.0,Utah Transit Authority,Utah Transit Authority,"500,000-1.99M",Mountain,Salt Lake City
2018-02-04,24638.0,Yolo County Transportation District,Yolo County Transportation District,"500,000-1.99M",Pacific,Sacramento
2018-02-04,32628.0,GoTriangle,GoTriangle,Under 500k,South-Atlantic,Raleigh
2018-02-04,1389668.0,RTC of Southern Nevada,RTC of Southern Nevada,"500,000-1.99M",Mountain,Las Vegas
2018-02-04,59162.0,"Arlington County, Virginia","Arlington County, Virginia",2M+,South-Atlantic,Washington D.C.
2018-02-04,253293.0,Pinellas Suncoast Tran Auth,Pinellas Suncoast Tran Auth,2M+,South-Atlantic,Tampa
2018-02-04,685778.0,Bi-State Dev Agency,Bi-State Dev Agency,2M+,West Central,St. Louis
2018-02-04,150593.0,MTA Staten Island Railway,MTA Staten Island Railway,2M+,Mid-Atlantic,NYC
2018-02-04,74665.0,Torrance Transit System,Torrance Transit System,2M+,Pacific,Los Angeles
2018-02-04,285967.0,Jacksonville Transp Auth,Jacksonville Transp Auth,"500,000-1.99M",South-Atlantic,Jacksonville
2018-02-04,77560.0,Denton County Transportation Auth,Denton County Transportation Auth,Under 500k,West Central,Dallas
2018-02-04,213823.0,Spokane Transit Authority,Spokane Transit Authority,Under 500k,Pacific,Spokane
2018-02-04,65976.0,Gardena Municipal Bus Lines,Gardena Municipal Bus Lines,2M+,Pacific,Los Angeles
