Year,Total Ridership,Heavy Rail,Light Rail,Commuter Rail,Trolleybus,Bus,Demand Response,Other
1990,8956479.0,2420196.0,146443.0,327547.0,,5740648.0,106984.0,214660.0
1991,8483877.0,2182759.0,170726.0,325186.0,,5526171.0,72108.0,206927.0
1992,8555107.0,2064773.0,162994.0,326443.0,,5699502.0,98116.0,203280.0
1993,8452120.0,2172905.0,168451.0,329591.0,125464.0,5487952.0,94119.0,73639.0
1994,8450736.0,2278945.0,232884.0,349542.0,118524.0,5284821.0,98024.0,87994.0
1995,8490116.0,2181997.0,243403.0,352312.0,116759.0,5416852.0,94533.0,84261.0
1996,7930132.0,2067370.0,269479.0,361532.0,117187.0,4955427.0,81575.0,76726.0
1997,8106214.0,2201070.0,261619.0,368198.0,118573.0,4992529.0,83513.0,80713.0
1998,8697183.0,2562799.0,278779.0,378595.0,117424.0,5160836.0,103001.0,95749.0
1999,9057962.0,2685998.0,286671.0,393662.0,126469.0,5360392.0,107791.0,96864.0
2000,9403443.0,2688025.0,293215.0,411840.0,122451.0,5679265.0,110861.0,97785.0
2001,9504693.0,2729836.0,310612.0,420680.0,112253.0,5719321.0,112639.0,99172.0
2002,9386941.0,2706211.0,317653.0,411449.0,118810.0,5611975.0,117366.0,103477.0
2003,9328781.0,2653190.0,329261.0,408734.0,108912.0,5608516.0,112225.0,107944.0
2004,9586404.0,2681714.0,342295.0,411681.0,106593.0,5816418.0,114921.0,112781.0
2005,9805757.0,2774583.0,362428.0,421902.0,105570.0,5908530.0,118728.0,114016.0
2006,10046427.0,2908948.0,406980.0,436780.0,103007.0,5940332.0,127400.0,122980.0
2007,10270589.0,3450429.0,429765.0,455118.0,102868.0,5429322.0,210650.0,192437.0
2008,10597931.0,3570826.0,462122.0,475739.0,106314.0,5605445.0,193582.0,183904.0
2009,10257889.0,3476969.0,457118.0,451879.0,99925.0,5370880.0,189434.0,211685.0
2010,10172352.0,3530639.0,464978.0,452791.0,99064.0,5231478.0,190503.0,202899.0
2011,10361769.0,3648330.0,488504.0,464037.0,97398.0,5272923.0,191656.0,198922.0
2012,10537188.0,3702571.0,510023.0,466434.0,93968.0,5363051.0,211210.0,189932.0
2013,10652069.0,3808781.0,518536.0,476039.0,95707.0,5340567.0,225141.0,187297.0
2014,10736169.0,3939259.0,528479.0,490409.0,93614.0,5258993.0,233224.0,192191.0
2015,10626931.0,3945569.0,528031.0,489873.0,86712.0,5157146.0,223109.0,196492.0
2016,10407892.0,3893768.0,548006.0,497039.0,87785.0,4979624.0,210832.0,190838.0
2017,10090710.0,3813559.0,542274.0,497073.0,83031.0,4758603.0,207452.0,188719.0
2018,9916042.0,3712458.0,526981.0,499063.0,79670.0,4706339.0,205509.0,186022.0
2019,9923287.0,3797895.0,505171.0,510443.0,81468.0,4638115.0,202383.0,187812.0
2020,4709727.0,1483802.0,230492.0,175690.0,27121.0,2595607.0,112841.0,84174.0
2021,4808094.0,1668852.0,220211.0,175350.0,37859.0,2509121.0,111636.0,85065.0
2022,6195294.0,2278452.0,302249.0,266412.0,47869.0,3050578.0,136302.0,113432.0
,,,,,,,,
